[2026-03-06 07:25:44] ENGINE STARTED | MODE: PAPER
[2026-03-06 07:32:27] ENGINE STARTED | MODE: PAPER
[2026-03-06 07:32:45] ENGINE STARTED | MODE: PAPER
[2026-03-06 09:42:20] ENGINE STARTED | MODE: PAPER
[2026-03-06 09:50:53] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:02:08] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:08:10] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:18:05] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:46:42] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:51:55] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:59:45] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:07:49] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:18:54] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:19:49] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:23:14] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:25:15] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:25:58] PAPER BUY CUMMINSIND Entry:4856.9 SL:4820.5 Target:4978.3

[2026-03-06 11:25:58] PAPER SELL DALBHARAT Entry:1897.2 SL:1911.4 Target:1849.8

[2026-03-06 11:25:58] PAPER BUY VEDL Entry:724.55 SL:719.1 Target:742.65

[2026-03-06 11:25:58] PAPER SELL ALKEM Entry:5510.0 SL:5551.5 Target:5372.0

[2026-03-06 11:25:58] PAPER SELL ADANIENT Entry:2062.3 SL:2077.8 Target:2010.7

[2026-03-06 11:25:58] PAPER SELL LODHA Entry:895.6 SL:902.3 Target:873.2

[2026-03-06 11:25:58] PAPER BUY APLAPOLLO Entry:2182.7 SL:2166.3 Target:2237.3

[2026-03-06 11:25:58] PAPER BUY JSWSTEEL Entry:1245.0 SL:1235.7 Target:1276.1

[2026-03-06 11:25:58] PAPER SELL HINDZINC Entry:590.65 SL:595.1 Target:575.9

[2026-03-06 11:25:58] PAPER SELL AMBUJACEM Entry:474.2 SL:477.75 Target:462.35

[2026-03-06 11:25:58] PAPER BUY TITAN Entry:4283.9 SL:4251.8 Target:4391.0

[2026-03-06 11:25:58] PAPER SELL GODREJPROP Entry:1681.4 SL:1694.0 Target:1639.4

[2026-03-06 11:25:58] PAPER SELL RBLBANK Entry:307.45 SL:309.75 Target:299.75

[2026-03-06 11:25:58] PAPER SELL EXIDEIND Entry:317.95 SL:320.35 Target:310.0

[2026-03-06 11:25:58] PAPER BUY INDIANB Entry:949.1 SL:942.0 Target:972.85

[2026-03-06 11:25:58] PAPER SELL MUTHOOTFIN Entry:3271.1 SL:3295.6 Target:3189.3

[2026-03-06 11:25:58] PAPER SELL OFSS Entry:6727.0 SL:6777.5 Target:6559.0

[2026-03-06 11:25:58] PAPER BUY BDL Entry:1353.3 SL:1343.2 Target:1387.1

[2026-03-06 11:25:58] PAPER SELL ADANIGREEN Entry:874.25 SL:880.8 Target:852.4

[2026-03-06 11:25:58] PAPER SELL SYNGENE Entry:400.0 SL:403.0 Target:390.0

[2026-03-06 11:25:58] PAPER SELL PNBHOUSING Entry:782.4 SL:788.25 Target:762.85

[2026-03-06 11:25:58] PAPER SELL GODREJCP Entry:1118.2 SL:1126.6 Target:1090.2

[2026-03-06 11:25:58] PAPER SELL ICICIPRULI Entry:618.3 SL:622.95 Target:602.85

[2026-03-06 11:25:58] PAPER BUY NATIONALUM Entry:396.8 SL:393.8 Target:406.7

[2026-03-06 11:25:58] PAPER BUY POWERGRID Entry:301.45 SL:299.2 Target:309.0

[2026-03-06 11:25:58] PAPER SELL HDFCBANK Entry:863.65 SL:870.15 Target:842.05

[2026-03-06 11:25:58] PAPER SELL TATAELXSI Entry:4356.5 SL:4389.2 Target:4247.6

[2026-03-06 11:25:58] PAPER SELL PAYTM Entry:1042.4 SL:1050.2 Target:1016.3

[2026-03-06 11:25:58] PAPER BUY MAZDOCK Entry:2512.3 SL:2493.5 Target:2575.1

[2026-03-06 11:25:58] PAPER SELL HINDUNILVR Entry:2226.8 SL:2243.5 Target:2171.1

[2026-03-06 11:25:59] PAPER SELL BHARTIARTL Entry:1886.3 SL:1900.4 Target:1839.1

[2026-03-06 11:25:59] PAPER SELL KOTAKBANK Entry:404.1 SL:407.15 Target:394.0

[2026-03-06 11:26:00] PAPER SELL SBICARD Entry:726.65 SL:732.1 Target:708.5

[2026-03-06 11:27:00] PAPER SELL DLF Entry:576.65 SL:580.95 Target:562.25

[2026-03-06 11:27:01] PAPER BUY JINDALSTEL Entry:1188.6 SL:1179.7 Target:1218.3

[2026-03-06 11:30:06] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:30:13] PAPER SELL GODREJPROP Entry:1682.6 SL:1695.2 Target:1640.5

[2026-03-06 11:30:13] PAPER SELL AMBUJACEM Entry:474.45 SL:478.0 Target:462.6

[2026-03-06 11:30:13] PAPER SELL HDFCBANK Entry:863.85 SL:870.35 Target:842.25

[2026-03-06 11:30:13] PAPER SELL EXIDEIND Entry:318.0 SL:320.4 Target:310.05

[2026-03-06 11:30:13] PAPER BUY TITAN Entry:4287.0 SL:4254.8 Target:4394.2

[2026-03-06 11:30:13] PAPER BUY JINDALSTEL Entry:1188.9 SL:1180.0 Target:1218.6

[2026-03-06 11:30:13] PAPER SELL MUTHOOTFIN Entry:3273.9 SL:3298.5 Target:3192.1

[2026-03-06 11:30:13] PAPER SELL 360ONE Entry:1066.3 SL:1074.3 Target:1039.6

[2026-03-06 11:30:13] PAPER BUY APLAPOLLO Entry:2183.6 SL:2167.2 Target:2238.2

[2026-03-06 11:30:13] PAPER SELL OFSS Entry:6730.0 SL:6780.5 Target:6562.0

[2026-03-06 11:30:13] PAPER SELL POLICYBZR Entry:1434.9 SL:1445.7 Target:1399.0

[2026-03-06 11:30:13] PAPER BUY CUMMINSIND Entry:4859.4 SL:4823.0 Target:4980.9

