[2026-03-25 08:46:28] ENGINE STARTED | MODE: PAPER
[2026-03-25 09:18:00] PAPER SELL TECHM Entry:1400.2 SL:1415.9 TSL-Only

[2026-03-25 09:18:00] PAPER SELL MPHASIS Entry:2128.1 SL:2147.5 TSL-Only

[2026-03-25 09:18:59] PYRAMID Leg1 MPHASIS SELL Entry:2117.46 SL:2133.30 TSL-Only
[2026-03-25 09:20:00] F5 FROZEN DIXON O:10255.00 H:10449.00 L:10222.00 C:10422.00 Range:2.21%
[2026-03-25 09:20:00] F5 FROZEN AMBER O:6520.00 H:6666.00 L:6498.50 C:6646.00 Range:2.57%
[2026-03-25 09:20:00] F5 FROZEN KAYNES O:3558.00 H:3609.00 L:3550.00 C:3596.70 Range:1.66%
[2026-03-25 09:20:00] F5 FROZEN PATANJALI O:473.75 H:478.75 L:467.10 C:474.15 Range:2.46%
[2026-03-25 09:20:00] F5 FROZEN POWERINDIA O:25315.00 H:25620.00 L:25245.00 C:25510.00 Range:1.48%
[2026-03-25 09:20:00] F5 FROZEN ICICIPRULI O:541.00 H:546.75 L:539.95 C:546.20 Range:1.26%
[2026-03-25 09:20:00] F5 FROZEN MAXHEALTH O:969.30 H:975.20 L:968.00 C:974.20 Range:0.74%
[2026-03-25 09:20:00] F5 FROZEN UNITDSPR O:1331.00 H:1345.40 L:1321.00 C:1331.60 Range:1.83%
[2026-03-25 09:20:00] F5 FROZEN PERSISTENT O:4920.50 H:4934.10 L:4845.00 C:4868.00 Range:1.81%
[2026-03-25 09:20:00] F5 FROZEN ADANIENT O:1839.60 H:1860.00 L:1839.20 C:1858.00 Range:1.13%
[2026-03-25 09:20:00] F5 FROZEN HDFCAMC O:2375.10 H:2402.50 L:2365.60 C:2402.50 Range:1.55%
[2026-03-25 09:20:00] F5 FROZEN SIEMENS O:3028.00 H:3064.00 L:3028.00 C:3058.30 Range:1.19%
[2026-03-25 09:20:00] F5 FROZEN ANGELONE O:233.50 H:238.67 L:233.10 C:237.32 Range:2.39%
[2026-03-25 09:20:00] F5 FROZEN GRASIM O:2576.00 H:2607.50 L:2575.90 C:2606.40 Range:1.23%
[2026-03-25 09:20:00] F5 FROZEN VEDL O:660.55 H:664.30 L:659.00 C:662.15 Range:0.80%
[2026-03-25 09:20:00] F5 FROZEN BSE O:2840.00 H:2858.70 L:2814.40 C:2831.00 Range:1.56%
[2026-03-25 09:20:00] F5 FROZEN LTF O:257.65 H:261.40 L:257.35 C:261.30 Range:1.57%
[2026-03-25 09:20:00] F5 FROZEN WAAREEENER O:3154.20 H:3163.00 L:3128.10 C:3140.00 Range:1.11%
[2026-03-25 09:20:00] F5 FROZEN TRENT O:3397.20 H:3432.00 L:3390.00 C:3430.00 Range:1.24%
[2026-03-25 09:20:00] F5 FROZEN SHRIRAMFIN O:929.40 H:935.20 L:917.30 C:933.70 Range:1.93%
[2026-03-25 09:20:00] F5 FROZEN HINDZINC O:513.15 H:516.00 L:510.75 C:513.25 Range:1.02%
[2026-03-25 09:20:00] F5 FROZEN TCS O:2400.90 H:2408.20 L:2390.70 C:2398.40 Range:0.73%
[2026-03-25 09:20:00] F5 FROZEN JSWSTEEL O:1148.10 H:1155.50 L:1137.30 C:1155.50 Range:1.59%
