[2026-03-27 08:58:23] ENGINE STARTED | MODE: PAPER
[2026-03-27 09:18:00] PAPER SELL INDIGO Entry:4201.6 SL:4226.9 TSL-Only

[2026-03-27 09:18:00] PAPER SELL 360ONE Entry:987.2 SL:993.7 TSL-Only

[2026-03-27 09:18:00] PAPER SELL GODREJPROP Entry:1521.0 SL:1540.0 TSL-Only

[2026-03-27 09:18:00] PAPER SELL BHARATFORG Entry:1702.8 SL:1719.9 TSL-Only

[2026-03-27 09:18:00] PAPER SELL HDFCAMC Entry:2329.2 SL:2374.6 TSL-Only

[2026-03-27 09:18:00] PAPER SELL HINDZINC Entry:507.45 SL:509.95 TSL-Only

[2026-03-27 09:18:00] PAPER SELL CUMMINSIND Entry:4664.9 SL:4713.6 TSL-Only

[2026-03-27 09:18:00] PAPER SELL ADANIPORTS Entry:1362.6 SL:1368.6 TSL-Only

[2026-03-27 09:18:00] PAPER SELL CHOLAFIN Entry:1444.6 SL:1451.5 TSL-Only

[2026-03-27 09:18:00] PAPER SELL APLAPOLLO Entry:1968.8 SL:1984.4 TSL-Only

[2026-03-27 09:18:00] PAPER SELL SBIN Entry:1044.3 SL:1053.3 TSL-Only

[2026-03-27 09:18:00] PAPER SELL SIEMENS Entry:3060.2 SL:3093.7 TSL-Only

[2026-03-27 09:18:00] PAPER SELL AUROPHARMA Entry:1299.0 SL:1306.8 TSL-Only

[2026-03-27 09:18:00] PAPER SELL ADANIGREEN Entry:841.0 SL:850.1 TSL-Only

[2026-03-27 09:18:00] PAPER SELL MAZDOCK Entry:2231.4 SL:2246.2 TSL-Only

[2026-03-27 09:18:00] PAPER SELL FORTIS Entry:819.75 SL:830.85 TSL-Only

[2026-03-27 09:18:00] PAPER SELL TRENT Entry:3422.0 SL:3454.0 TSL-Only

[2026-03-27 09:18:00] PAPER SELL HDFCLIFE Entry:606.95 SL:611.4 TSL-Only

[2026-03-27 09:18:00] PAPER SELL JSWSTEEL Entry:1138.9 SL:1150.4 TSL-Only

[2026-03-27 09:18:01] PAPER SELL GODREJCP Entry:1015.3 SL:1030.0 TSL-Only

[2026-03-27 09:18:01] PAPER SELL PIIND Entry:2868.3 SL:2876.0 TSL-Only

[2026-03-27 09:18:01] PAPER SELL UNITDSPR Entry:1294.4 SL:1309.8 TSL-Only

[2026-03-27 09:18:01] PAPER SELL IRCTC Entry:515.2 SL:520.6 TSL-Only

[2026-03-27 09:18:01] PAPER SELL ICICIPRULI Entry:529.65 SL:537.3 TSL-Only

[2026-03-27 09:18:02] PAPER SELL LUPIN Entry:2333.7 SL:2355.7 TSL-Only

[2026-03-27 09:18:02] PAPER SELL ZYDUSLIFE Entry:895.05 SL:900.0 TSL-Only

[2026-03-27 09:18:02] PAPER SELL PHOENIXLTD Entry:1526.8 SL:1536.9 TSL-Only

[2026-03-27 09:18:02] PAPER SELL TIINDIA Entry:2636.1 SL:2661.1 TSL-Only

[2026-03-27 09:18:02] PAPER SELL PRESTIGE Entry:1194.0 SL:1214.4 TSL-Only

[2026-03-27 09:18:02] PAPER SELL OBEROIRLTY Entry:1467.2 SL:1485.7 TSL-Only

[2026-03-27 09:18:06] PAPER SELL CDSL Entry:1192.7 SL:1206.0 TSL-Only

[2026-03-27 09:18:06] PAPER SELL ADANIENSOL Entry:968.5 SL:980.9 TSL-Only

[2026-03-27 09:18:06] PAPER SELL CGPOWER Entry:680.45 SL:684.8 TSL-Only

[2026-03-27 09:18:06] PAPER SELL TORNTPHARM Entry:4277.1 SL:4305.7 TSL-Only

[2026-03-27 09:18:06] PAPER SELL AUBANK Entry:894.0 SL:905.45 TSL-Only

[2026-03-27 09:18:06] PAPER SELL DLF Entry:522.25 SL:529.0 TSL-Only

[2026-03-27 09:18:07] PAPER SELL ADANIENT Entry:1862.2 SL:1874.1 TSL-Only

[2026-03-27 09:18:45] PYRAMID Leg1 SIEMENS SELL Entry:3044.90 SL:3067.70 TSL-Only
[2026-03-27 09:18:46] PYRAMID Leg1 HDFCAMC SELL Entry:2317.55 SL:2334.90 TSL-Only
[2026-03-27 09:18:49] PYRAMID Leg1 UNITDSPR SELL Entry:1287.93 SL:1297.60 TSL-Only
[2026-03-27 09:18:58] PYRAMID Leg1 CHOLAFIN SELL Entry:1437.38 SL:1448.20 TSL-Only
[2026-03-27 09:19:07] PYRAMID Leg1 CDSL SELL Entry:1186.74 SL:1195.60 TSL-Only
[2026-03-27 09:19:13] PYRAMID Leg1 MAZDOCK SELL Entry:2220.24 SL:2236.90 TSL-Only
[2026-03-27 09:19:15] PYRAMID Leg1 CUMMINSIND SELL Entry:4641.58 SL:4676.40 TSL-Only
[2026-03-27 09:19:17] PYRAMID Leg1 360ONE SELL Entry:982.26 SL:989.60 TSL-Only
[2026-03-27 09:19:38] PYRAMID Leg1 ADANIGREEN SELL Entry:836.79 SL:843.05 TSL-Only
[2026-03-27 09:19:40] PYRAMID Leg1 ADANIENSOL SELL Entry:963.66 SL:970.90 TSL-Only
[2026-03-27 09:19:43] PYRAMID Leg2 HDFCAMC SELL Entry:2305.91 SL:2323.20 TSL-Only
[2026-03-27 09:20:00] F5 FROZEN FEDERALBNK O:267.35 H:269.80 L:266.50 C:266.60 Range:1.23%
[2026-03-27 09:20:00] F5 FROZEN TECHM O:1412.10 H:1420.40 L:1397.00 C:1412.60 Range:1.66%
[2026-03-27 09:20:00] F5 FROZEN HINDALCO O:860.95 H:863.30 L:854.75 C:862.60 Range:0.99%
[2026-03-27 09:20:00] F5 FROZEN CAMS O:638.35 H:642.00 L:636.25 C:636.75 Range:0.90%
[2026-03-27 09:20:00] F5 FROZEN BAJAJFINSV O:1716.60 H:1738.60 L:1700.00 C:1701.00 Range:2.25%
[2026-03-27 09:20:00] F5 FROZEN HINDUNILVR O:2105.20 H:2127.00 L:2102.30 C:2107.30 Range:1.17%
[2026-03-27 09:20:00] F5 FROZEN COALINDIA O:444.50 H:447.50 L:443.70 C:444.60 Range:0.85%
[2026-03-27 09:20:00] F5 FROZEN VBL O:393.95 H:400.90 L:393.00 C:393.25 Range:2.01%
[2026-03-27 09:20:00] F5 FROZEN SWIGGY O:275.85 H:278.00 L:273.55 C:274.55 Range:1.61%
[2026-03-27 09:20:00] F5 FROZEN MUTHOOTFIN O:3279.00 H:3299.00 L:3263.00 C:3263.90 Range:1.10%
[2026-03-27 09:20:00] F5 FROZEN LODHA O:721.55 H:729.65 L:720.15 C:721.00 Range:1.32%
[2026-03-27 09:20:00] F5 FROZEN HCLTECH O:1391.30 H:1396.90 L:1375.30 C:1390.20 Range:1.55%
[2026-03-27 09:20:00] F5 FROZEN SAIL O:150.00 H:152.00 L:149.30 C:149.35 Range:1.80%
[2026-03-27 09:20:00] F5 FROZEN ICICIGI O:1759.10 H:1774.20 L:1755.10 C:1755.10 Range:1.09%
[2026-03-27 09:20:00] F5 FROZEN TATAELXSI O:4201.80 H:4218.90 L:4180.40 C:4195.30 Range:0.92%
[2026-03-27 09:20:00] F5 FROZEN DELHIVERY O:422.80 H:425.70 L:420.70 C:421.60 Range:1.18%
[2026-03-27 09:20:00] F5 FROZEN BAJFINANCE O:862.55 H:875.15 L:860.05 C:860.30 Range:1.75%
[2026-03-27 09:20:00] F5 FROZEN DALBHARAT O:1849.20 H:1870.10 L:1840.70 C:1840.70 Range:1.59%
[2026-03-27 09:20:00] F5 FROZEN INFY O:1287.90 H:1292.80 L:1279.10 C:1288.50 Range:1.06%
[2026-03-27 09:20:00] F5 FROZEN HAL O:3632.20 H:3659.20 L:3620.30 C:3620.90 Range:1.07%
[2026-03-27 09:20:00] F5 FROZEN SHRIRAMFIN O:931.40 H:951.00 L:927.00 C:927.50 Range:2.58%
[2026-03-27 09:20:00] F5 FROZEN ASHOKLEY O:167.39 H:169.89 L:166.39 C:166.50 Range:2.09%
[2026-03-27 09:20:00] F5 FROZEN TMPV O:308.40 H:312.85 L:306.80 C:308.00 Range:1.96%
[2026-03-27 09:20:00] F5 FROZEN LT O:3577.30 H:3615.40 L:3566.60 C:3566.60 Range:1.36%
[2026-03-27 09:20:00] F5 FROZEN WAAREEENER O:3157.60 H:3183.40 L:3142.00 C:3148.20 Range:1.31%
[2026-03-27 09:20:00] F5 FROZEN SHREECEM O:23885.00 H:24200.00 L:23825.00 C:23850.00 Range:1.57%
[2026-03-27 09:20:00] F5 FROZEN TORNTPOWER O:1377.80 H:1392.30 L:1373.40 C:1375.00 Range:1.37%
[2026-03-27 09:20:00] F5 FROZEN BEL O:408.25 H:411.90 L:406.40 C:407.00 Range:1.35%
[2026-03-27 09:20:00] F5 FROZEN LICHSGFIN O:502.95 H:505.20 L:501.20 C:501.20 Range:0.80%
[2026-03-27 09:20:00] F5 FROZEN BDL O:1187.80 H:1195.50 L:1180.80 C:1181.00 Range:1.24%
[2026-03-27 09:20:00] F5 FROZEN SRF O:2526.00 H:2560.00 L:2522.10 C:2525.10 Range:1.50%
[2026-03-27 09:20:00] F5 FROZEN INDHOTEL O:608.25 H:614.20 L:604.10 C:604.30 Range:1.66%
[2026-03-27 09:20:00] F5 FROZEN LICI O:768.90 H:774.40 L:767.50 C:767.50 Range:0.90%
[2026-03-27 09:20:00] F5 FROZEN SUNPHARMA O:1794.10 H:1796.60 L:1786.60 C:1796.60 Range:0.56%
[2026-03-27 09:20:00] F5 FROZEN COFORGE O:1159.40 H:1163.50 L:1152.00 C:1158.40 Range:0.99%
[2026-03-27 09:20:00] F5 FROZEN MAXHEALTH O:988.00 H:990.00 L:978.00 C:984.40 Range:1.21%
[2026-03-27 09:20:00] F5 FROZEN ABB O:6078.50 H:6190.00 L:6037.50 C:6045.50 Range:2.51%
[2026-03-27 09:20:00] F5 FROZEN ETERNAL O:236.99 H:239.14 L:235.25 C:235.25 Range:1.64%
[2026-03-27 09:20:00] F5 FROZEN TATASTEEL O:193.40 H:195.34 L:192.87 C:193.00 Range:1.28%
[2026-03-27 09:20:00] F5 FROZEN SBILIFE O:1838.90 H:1848.60 L:1833.00 C:1834.90 Range:0.85%
[2026-03-27 09:20:00] F5 FROZEN BPCL O:291.50 H:298.50 L:289.60 C:290.10 Range:3.05%
[2026-03-27 09:20:00] F5 FROZEN RELIANCE O:1392.00 H:1404.70 L:1386.50 C:1392.70 Range:1.31%
[2026-03-27 09:20:00] F5 FROZEN CANBK O:133.00 H:134.85 L:131.86 C:131.87 Range:2.25%
[2026-03-27 09:20:00] F5 FROZEN NESTLEIND O:1202.50 H:1204.80 L:1196.30 C:1201.00 Range:0.71%
