[2026-03-30 07:39:17] ENGINE STARTED | MODE: PAPER
[2026-03-30 07:42:36] load_15m_candles path3 error POLYCAB: Too many requests
[2026-03-30 07:43:15] 📂 15m EMA seed fetched from Kite API (2026-03-27) — 194 symbols loaded, 1 skipped, 1 API errors
[2026-03-30 09:18:00] PAPER SELL AXISBANK Entry:1162.4 SL:1187.0 TSL-Only

[2026-03-30 09:18:00] PAPER SELL LUPIN Entry:2310.4 SL:2338.9 TSL-Only

[2026-03-30 09:18:00] PAPER SELL TORNTPOWER Entry:1331.6 SL:1356.6 TSL-Only

[2026-03-30 09:18:00] PAPER SELL CUMMINSIND Entry:4575.0 SL:4618.0 TSL-Only

[2026-03-30 09:18:00] PAPER SELL SRF Entry:2460.0 SL:2486.4 TSL-Only

[2026-03-30 09:18:00] PAPER SELL LAURUSLABS Entry:998.0 SL:1004.4 TSL-Only

[2026-03-30 09:18:00] PAPER SELL ADANIENT Entry:1808.2 SL:1823.1 TSL-Only

[2026-03-30 09:18:00] PAPER SELL CIPLA Entry:1217.6 SL:1237.4 TSL-Only

[2026-03-30 09:18:00] PAPER SELL PAYTM Entry:994.2 SL:1002.9 TSL-Only

[2026-03-30 09:18:00] PAPER SELL DALBHARAT Entry:1815.5 SL:1841.2 TSL-Only

[2026-03-30 09:18:00] PAPER SELL BAJAJFINSV Entry:1660.0 SL:1691.3 TSL-Only

[2026-03-30 09:18:00] PAPER SELL SIEMENS Entry:2977.5 SL:3011.7 TSL-Only

[2026-03-30 09:18:00] PAPER SELL LICI Entry:748.9 SL:761.8 TSL-Only

[2026-03-30 09:18:00] PAPER SELL TCS Entry:2358.9 SL:2387.2 TSL-Only

[2026-03-30 09:18:00] PAPER SELL PNBHOUSING Entry:778.25 SL:789.85 TSL-Only

[2026-03-30 09:18:00] PAPER SELL ADANIENSOL Entry:949.1 SL:958.2 TSL-Only

[2026-03-30 09:18:00] PAPER SELL COFORGE Entry:1124.0 SL:1140.4 TSL-Only

[2026-03-30 09:18:00] PAPER SELL TITAN Entry:3922.7 SL:3984.7 TSL-Only

[2026-03-30 09:18:00] PAPER SELL WAAREEENER Entry:3045.0 SL:3077.2 TSL-Only

[2026-03-30 09:18:00] PAPER SELL UPL Entry:587.9 SL:594.2 TSL-Only

[2026-03-30 09:19:05] PYRAMID Leg1 WAAREEENER SELL Entry:3029.78 SL:3052.50 TSL-Only
[2026-03-30 09:19:06] PYRAMID Leg1 TORNTPOWER SELL Entry:1324.94 SL:1334.90 TSL-Only
[2026-03-30 09:19:50] PYRAMID Leg1 PAYTM SELL Entry:989.23 SL:996.60 TSL-Only
[2026-03-30 09:19:58] PYRAMID Leg1 PNBHOUSING SELL Entry:774.36 SL:780.15 TSL-Only
[2026-03-30 09:20:00] F5 FROZEN TECHM O:1376.80 H:1389.80 L:1372.80 C:1389.80 Range:1.23%
[2026-03-30 09:20:00] F5 FROZEN ICICIGI O:1696.80 H:1731.90 L:1687.30 C:1689.70 Range:2.63%
[2026-03-30 09:20:00] F5 FROZEN ICICIBANK O:1214.50 H:1222.60 L:1212.30 C:1213.40 Range:0.85%
[2026-03-30 09:20:00] F5 FROZEN POWERGRID O:295.30 H:295.85 L:292.00 C:294.75 Range:1.30%
[2026-03-30 09:20:00] F5 FROZEN TATATECH O:532.20 H:539.10 L:530.10 C:531.65 Range:1.69%
[2026-03-30 09:20:00] F5 FROZEN SBICARD O:665.25 H:666.55 L:661.00 C:662.65 Range:0.83%
[2026-03-30 09:20:00] F5 FROZEN HCLTECH O:1345.00 H:1354.80 L:1342.10 C:1354.70 Range:0.94%
[2026-03-30 09:20:00] F5 FROZEN HINDPETRO O:335.45 H:336.80 L:325.00 C:336.65 Range:3.52%
[2026-03-30 09:20:00] F5 FROZEN PAGEIND O:31470.00 H:31515.00 L:31260.00 C:31315.00 Range:0.81%
[2026-03-30 09:20:00] F5 FROZEN M&M O:2995.30 H:3004.60 L:2972.30 C:2994.80 Range:1.08%
[2026-03-30 09:20:00] F5 FROZEN TVSMOTOR O:3399.00 H:3415.10 L:3366.60 C:3392.10 Range:1.43%
[2026-03-30 09:20:00] F5 FROZEN UNITDSPR O:1245.90 H:1248.60 L:1237.10 C:1245.00 Range:0.92%
[2026-03-30 09:20:00] F5 FROZEN OIL O:486.55 H:488.10 L:478.80 C:485.20 Range:1.91%
[2026-03-30 09:20:00] F5 FROZEN HINDUNILVR O:2052.10 H:2062.70 L:2046.70 C:2058.60 Range:0.78%
[2026-03-30 09:20:00] F5 FROZEN SUPREMEIND O:3711.50 H:3731.00 L:3671.40 C:3703.90 Range:1.61%
[2026-03-30 09:20:00] F5 FROZEN HAL O:3562.00 H:3570.70 L:3535.30 C:3555.80 Range:0.99%
[2026-03-30 09:20:00] F5 FROZEN GRASIM O:2588.40 H:2608.70 L:2582.30 C:2588.00 Range:1.02%
[2026-03-30 09:20:00] F5 FROZEN JUBLFOOD O:443.40 H:447.75 L:438.60 C:441.00 Range:2.06%
[2026-03-30 09:20:00] F5 FROZEN UNIONBANK O:171.15 H:173.29 L:170.06 C:171.12 Range:1.89%
[2026-03-30 09:20:00] F5 FROZEN SOLARINDS O:12435.00 H:12490.00 L:12159.00 C:12441.00 Range:2.66%
[2026-03-30 09:20:00] F5 FROZEN DMART O:3914.10 H:3920.90 L:3877.00 C:3909.40 Range:1.12%
[2026-03-30 09:20:00] F5 FROZEN TMPV O:299.00 H:300.25 L:295.75 C:298.25 Range:1.51%
[2026-03-30 09:20:00] F5 FROZEN BOSCHLTD O:29285.00 H:29470.00 L:29055.00 C:29200.00 Range:1.42%
[2026-03-30 09:20:00] F5 FROZEN DIXON O:9864.00 H:9940.00 L:9788.00 C:9843.00 Range:1.54%
[2026-03-30 09:20:00] F5 FROZEN NESTLEIND O:1180.50 H:1189.80 L:1178.50 C:1179.10 Range:0.96%
[2026-03-30 09:20:00] F5 FROZEN MCX O:2374.80 H:2378.70 L:2345.00 C:2360.00 Range:1.42%
[2026-03-30 09:20:00] F5 FROZEN DRREDDY O:1262.40 H:1276.20 L:1261.00 C:1264.10 Range:1.20%
[2026-03-30 09:20:00] F5 FROZEN HEROMOTOCO O:5080.00 H:5094.00 L:5038.00 C:5071.00 Range:1.10%
[2026-03-30 09:20:00] F5 FROZEN SHRIRAMFIN O:885.50 H:890.00 L:874.40 C:884.60 Range:1.76%
[2026-03-30 09:20:00] F5 FROZEN HDFCLIFE O:601.90 H:607.35 L:600.00 C:600.60 Range:1.22%
[2026-03-30 09:20:00] F5 FROZEN VOLTAS O:1305.40 H:1308.50 L:1290.00 C:1301.00 Range:1.42%
[2026-03-30 09:20:00] F5 FROZEN PREMIERENE O:883.80 H:887.55 L:874.35 C:877.20 Range:1.49%
[2026-03-30 09:20:00] F5 FROZEN MPHASIS O:2066.60 H:2099.90 L:2056.10 C:2072.10 Range:2.12%
[2026-03-30 09:20:00] PYRAMID Leg1 SRF SELL Entry:2447.70 SL:2466.10 TSL-Only
[2026-03-30 09:20:00] F5 FROZEN LTF O:246.30 H:247.50 L:244.05 C:245.35 Range:1.40%
[2026-03-30 09:20:00] F5 FROZEN SYNGENE O:401.25 H:410.00 L:398.50 C:400.00 Range:2.87%
[2026-03-30 09:20:00] F5 FROZEN INOXWIND O:77.55 H:78.48 L:76.77 C:77.21 Range:2.21%
[2026-03-30 09:20:00] F5 FROZEN OFSS O:6795.00 H:6861.50 L:6776.00 C:6830.00 Range:1.26%
[2026-03-30 09:20:00] F5 FROZEN TATACONSUM O:1033.10 H:1042.50 L:1030.20 C:1031.30 Range:1.19%
[2026-03-30 09:20:00] F5 FROZEN PRESTIGE O:1156.00 H:1158.00 L:1149.00 C:1150.00 Range:0.78%
[2026-03-30 09:20:00] F5 FROZEN KOTAKBANK O:353.90 H:362.95 L:352.95 C:354.80 Range:2.83%
[2026-03-30 09:20:00] F5 FROZEN INDIGO O:4064.00 H:4075.00 L:4013.00 C:4073.20 Range:1.53%
[2026-03-30 09:20:00] F5 FROZEN RBLBANK O:292.45 H:294.45 L:291.00 C:291.10 Range:1.18%
[2026-03-30 09:20:00] F5 FROZEN MAZDOCK O:2143.20 H:2153.60 L:2110.80 C:2132.90 Range:2.00%
[2026-03-30 09:20:00] F5 FROZEN ULTRACEMCO O:10862.00 H:10952.00 L:10817.00 C:10898.00 Range:1.24%
[2026-03-30 09:20:00] F5 FROZEN FORTIS O:798.20 H:807.80 L:796.85 C:798.00 Range:1.37%
[2026-03-30 09:20:00] F5 FROZEN CAMS O:624.50 H:629.95 L:621.30 C:622.60 Range:1.39%
[2026-03-30 09:20:00] F5 FROZEN SAMMAANCAP O:147.74 H:148.19 L:146.20 C:146.60 Range:1.35%
[2026-03-30 09:20:00] F5 FROZEN RVNL O:259.70 H:260.85 L:256.60 C:259.30 Range:1.64%
[2026-03-30 09:20:00] F5 FROZEN BHEL O:251.30 H:252.10 L:249.20 C:250.50 Range:1.15%
[2026-03-30 09:20:00] F5 FROZEN INDIANB O:855.00 H:860.00 L:849.10 C:852.45 Range:1.27%
[2026-03-30 09:20:00] F5 FROZEN PERSISTENT O:4866.80 H:4928.10 L:4825.00 C:4928.10 Range:2.12%
[2026-03-30 09:20:00] F5 FROZEN CANBK O:127.76 H:128.42 L:126.38 C:127.53 Range:1.60%
[2026-03-30 09:20:00] F5 FROZEN EICHERMOT O:6722.00 H:6750.00 L:6666.50 C:6750.00 Range:1.24%
[2026-03-30 09:20:00] F5 FROZEN COALINDIA O:448.45 H:448.95 L:443.10 C:447.75 Range:1.30%
[2026-03-30 09:20:00] F5 FROZEN JSWSTEEL O:1127.10 H:1132.40 L:1114.00 C:1128.20 Range:1.63%
[2026-03-30 09:20:00] F5 FROZEN NAUKRI O:965.60 H:981.80 L:960.20 C:969.10 Range:2.24%
[2026-03-30 09:20:00] F5 FROZEN HINDZINC O:511.55 H:512.00 L:503.45 C:510.10 Range:1.67%
[2026-03-30 09:20:00] F5 FROZEN INDHOTEL O:585.40 H:587.00 L:579.25 C:583.25 Range:1.32%
[2026-03-30 09:20:00] F5 FROZEN NTPC O:376.95 H:377.95 L:374.40 C:375.85 Range:0.94%
[2026-03-30 09:20:00] F5 FROZEN BDL O:1133.00 H:1142.50 L:1116.10 C:1131.80 Range:2.33%
[2026-03-30 09:20:00] F5 FROZEN CHOLAFIN O:1380.40 H:1387.10 L:1365.90 C:1374.50 Range:1.54%
[2026-03-30 09:20:00] F5 FROZEN AUBANK O:864.25 H:873.80 L:859.35 C:859.60 Range:1.67%
[2026-03-30 09:20:00] F5 FROZEN ADANIPORTS O:1323.40 H:1329.60 L:1312.80 C:1323.00 Range:1.27%
[2026-03-30 09:20:00] F5 FROZEN ASIANPAINT O:2181.90 H:2200.00 L:2177.40 C:2191.80 Range:1.04%
[2026-03-30 09:20:00] F5 FROZEN ABB O:6025.00 H:6030.00 L:5963.50 C:6021.00 Range:1.10%
[2026-03-30 09:20:00] PYRAMID Leg1 UPL SELL Entry:584.96 SL:589.35 TSL-Only
[2026-03-30 09:20:00] F5 FROZEN ITC O:290.85 H:294.45 L:290.45 C:290.65 Range:1.38%
[2026-03-30 09:20:00] F5 FROZEN TATASTEEL O:190.85 H:192.53 L:188.69 C:190.19 Range:2.01%
[2026-03-30 09:20:00] F5 FROZEN SBIN O:999.10 H:1006.20 L:993.30 C:995.30 Range:1.29%
[2026-03-30 09:20:00] F5 FROZEN INFY O:1251.90 H:1261.00 L:1247.00 C:1261.00 Range:1.12%
[2026-03-30 09:20:00] F5 FROZEN NATIONALUM O:386.55 H:387.40 L:376.05 C:386.90 Range:2.94%
[2026-03-30 09:20:00] F5 FROZEN JIOFIN O:229.20 H:229.90 L:227.60 C:228.40 Range:1.00%
[2026-03-30 09:20:00] F5 FROZEN TIINDIA O:2520.20 H:2528.80 L:2499.80 C:2517.20 Range:1.15%
[2026-03-30 09:20:00] F5 FROZEN SUNPHARMA O:1773.10 H:1790.00 L:1773.00 C:1779.50 Range:0.96%
[2026-03-30 09:20:00] F5 FROZEN SAIL O:147.10 H:148.69 L:145.01 C:148.39 Range:2.50%
[2026-03-30 09:20:00] F5 FROZEN RELIANCE O:1350.90 H:1354.90 L:1334.10 C:1353.10 Range:1.54%
[2026-03-30 09:20:00] F5 FROZEN CDSL O:1153.50 H:1158.90 L:1143.50 C:1146.80 Range:1.34%
[2026-03-30 09:20:00] F5 FROZEN BPCL O:278.85 H:279.85 L:273.10 C:279.60 Range:2.42%
[2026-03-30 09:20:00] F5 FROZEN ASHOKLEY O:159.76 H:160.83 L:158.10 C:159.25 Range:1.71%
[2026-03-30 09:20:00] F5 FROZEN WIPRO O:188.95 H:190.63 L:188.45 C:189.89 Range:1.15%
[2026-03-30 09:20:00] F5 FROZEN INDUSINDBK O:774.30 H:784.00 L:772.50 C:773.15 Range:1.49%
[2026-03-30 09:20:00] F5 FROZEN JSWENERGY O:475.50 H:479.20 L:471.00 C:473.70 Range:1.72%
[2026-03-30 09:20:01] F5 FROZEN MARUTI O:12290.00 H:12302.00 L:12201.00 C:12277.00 Range:0.82%
[2026-03-30 09:20:01] F5 FROZEN PPLPHARMA O:141.94 H:142.95 L:141.17 C:141.50 Range:1.25%
[2026-03-30 09:20:01] F5 FROZEN HINDALCO O:889.35 H:896.00 L:882.50 C:890.95 Range:1.52%
[2026-03-30 09:20:01] F5 FROZEN ETERNAL O:229.36 H:229.93 L:225.19 C:228.57 Range:2.07%
[2026-03-30 09:20:01] F5 FROZEN KAYNES O:3550.20 H:3580.80 L:3515.00 C:3527.30 Range:1.85%
[2026-03-30 09:20:01] F5 FROZEN VEDL O:662.00 H:662.70 L:652.25 C:660.40 Range:1.58%
[2026-03-30 09:20:01] F5 FROZEN BSE O:2740.00 H:2750.00 L:2711.00 C:2722.10 Range:1.42%
[2026-03-30 09:20:01] F5 FROZEN LT O:3533.20 H:3538.90 L:3491.10 C:3521.00 Range:1.35%
[2026-03-30 09:20:01] F5 FROZEN BAJFINANCE O:828.65 H:834.90 L:825.00 C:825.80 Range:1.19%
[2026-03-30 09:20:01] F5 FROZEN HDFCBANK O:741.25 H:750.05 L:738.30 C:741.00 Range:1.59%
[2026-03-30 09:20:01] F5 FROZEN BHARTIARTL O:1812.00 H:1824.50 L:1801.80 C:1803.90 Range:1.25%
[2026-03-30 09:20:01] F5 FROZEN ONGC O:285.65 H:286.90 L:282.25 C:283.35 Range:1.63%
[2026-03-30 09:20:01] F5 FROZEN BEL O:407.55 H:407.95 L:400.70 C:407.15 Range:1.78%
[2026-03-30 09:20:01] F5 FROZEN TRENT O:3330.20 H:3366.40 L:3299.90 C:3328.80 Range:2.00%
[2026-03-30 09:20:01] F5 FROZEN ICICIPRULI O:522.15 H:525.50 L:520.00 C:521.35 Range:1.05%
[2026-03-30 09:20:01] F5 FROZEN JINDALSTEL O:1124.60 H:1127.40 L:1112.10 C:1123.00 Range:1.36%
[2026-03-30 09:20:01] F5 FROZEN DELHIVERY O:422.25 H:422.50 L:418.00 C:420.45 Range:1.07%
[2026-03-30 09:20:01] F5 FROZEN BLUESTARCO O:1642.80 H:1645.10 L:1623.30 C:1636.60 Range:1.33%
[2026-03-30 09:20:01] F5 FROZEN MUTHOOTFIN O:3196.00 H:3219.90 L:3175.60 C:3184.90 Range:1.39%
[2026-03-30 09:20:01] F5 FROZEN GLENMARK O:2153.30 H:2168.90 L:2146.30 C:2162.80 Range:1.05%
[2026-03-30 09:20:02] F5 FROZEN TORNTPHARM O:4233.70 H:4244.30 L:4217.10 C:4229.00 Range:0.64%
[2026-03-30 09:20:02] F5 FROZEN POWERINDIA O:24280.00 H:24385.00 L:24000.00 C:24270.00 Range:1.59%
[2026-03-30 09:20:02] F5 FROZEN POLICYBZR O:1444.40 H:1452.40 L:1435.00 C:1436.00 Range:1.20%
[2026-03-30 09:20:02] F5 FROZEN MFSL O:1537.00 H:1556.80 L:1527.80 C:1534.80 Range:1.89%
