Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-04-20 10:03:18.359316,JSWENERGY,SELL,529.3,532.25,10,-29.5,SL HIT
2026-04-20 10:03:22.803676,SYNGENE,SELL,433.3,435.75,10,-24.5,SL HIT
2026-04-20 10:03:23.310237,SBICARD,SELL,686.5,688.8,10,-23.0,SL HIT
2026-04-20 10:04:06.293160,SRF,SELL,2467.8,2481.1,10,-133.0,SL HIT
2026-04-20 11:31:13.763689,TIINDIA,BUY,2801.7,2843.7,10,420.0,TARGET HIT
2026-04-20 11:31:13.764689,TIINDIA__PYR1,BUY,2810.1051,2843.7,10,335.95,TARGET HIT
2026-04-20 11:31:13.765687,TIINDIA__PYR2,BUY,2818.5102,2843.7,10,251.9,TARGET HIT
2026-04-20 11:33:28.011289,NAUKRI,BUY,1064.0,1063.95,10,-0.5,SL HIT
2026-04-20 11:33:28.012296,NAUKRI__PYR1,BUY,1067.192,1063.95,10,-32.42,SL HIT
2026-04-20 11:33:28.012296,NAUKRI__PYR2,BUY,1070.384,1063.95,10,-64.34,SL HIT
2026-04-20 12:01:02.476844,JSWSTEEL,BUY,1253.7,1272.5,10,188.0,TARGET HIT
2026-04-20 12:01:02.476844,JSWSTEEL__PYR1,BUY,1257.4611,1272.5,10,150.39,TARGET HIT
2026-04-20 12:01:02.478282,JSWSTEEL__PYR2,BUY,1261.2222,1272.5,10,112.78,TARGET HIT
2026-04-20 12:25:12.679106,SIEMENS,BUY,3748.8,3750.2,10,14.0,SL HIT
2026-04-20 12:25:12.680452,SIEMENS__PYR1,BUY,3760.0464,3750.2,10,-98.46,SL HIT
2026-04-20 12:25:12.680839,SIEMENS__PYR2,BUY,3771.2928,3750.2,10,-210.93,SL HIT
2026-04-20 12:35:14.995101,BAJAJFINSV,BUY,1849.6,1842.0,10,-76.0,SL HIT
2026-04-20 12:35:16.007698,M&M,BUY,3220.7,3214.9,10,-58.0,SL HIT
2026-04-20 12:35:22.662355,BHARATFORG,BUY,1879.2,1878.2,10,-10.0,SL HIT
2026-04-20 12:35:22.966386,SHRIRAMFIN,BUY,1046.5,1045.45,10,-10.5,SL HIT
2026-04-20 12:35:24.983659,TATAPOWER__PYR1,BUY,435.3521,434.4,10,-9.52,SL HIT
2026-04-20 12:35:26.195974,INDIGO__PYR1,BUY,4673.6791,4672.8,10,-8.79,SL HIT
2026-04-20 12:35:27.916443,SBILIFE,BUY,1985.9,1982.6,10,-33.0,SL HIT
2026-04-20 12:35:29.731648,CONCOR,BUY,508.0,507.15,10,-8.5,SL HIT
2026-04-20 12:35:43.025232,ADANIPORTS,BUY,1594.0,1594.0,10,0.0,SL HIT
2026-04-20 12:35:55.006813,CUMMINSIND__PYR1,BUY,5193.4337,5183.9,10,-95.34,SL HIT
2026-04-20 12:35:56.017853,BAJFINANCE__PYR2,BUY,918.478,918.35,10,-1.28,SL HIT
2026-04-20 12:36:12.011139,CHOLAFIN,BUY,1586.9,1577.7,10,-92.0,SL HIT
2026-04-20 12:36:23.487842,TATAPOWER,BUY,434.05,434.05,10,0.0,SL HIT
2026-04-20 12:38:15.920155,CUMMINSIND,BUY,5177.9,5177.9,10,0.0,SL HIT
2026-04-20 12:40:57.946517,ASIANPAINT__PYR2,BUY,2510.976,2511.0,10,0.24,SL HIT
2026-04-20 13:00:34.498750,TCS,BUY,2589.3,2589.3,10,0.0,SL HIT
2026-04-20 13:00:38.526797,JINDALSTEL__PYR2,BUY,1289.0884,1289.1,10,0.12,SL HIT
2026-04-20 13:00:38.531145,APLAPOLLO__PYR2,BUY,2139.762,2139.8,10,0.38,SL HIT
2026-04-20 13:00:40.265946,BAJFINANCE__PYR1,BUY,915.739,915.75,10,0.11,SL HIT
2026-04-20 13:00:40.986021,DALBHARAT,BUY,1992.8,1992.8,10,0.0,SL HIT
2026-04-20 13:00:40.986536,DALBHARAT__PYR1,BUY,1998.7784,1992.8,10,-59.78,SL HIT
2026-04-20 13:00:44.481337,TVSMOTOR,BUY,3766.7,3766.7,10,0.0,SL HIT
2026-04-20 13:00:44.482569,TVSMOTOR__PYR1,BUY,3778.0001,3766.7,10,-113.0,SL HIT
2026-04-20 13:06:34.772378,APLAPOLLO__PYR1,BUY,2133.381,2133.4,10,0.19,SL HIT
