symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
HDFCLIFE,SELL,607.5,612.05,598.4,10,0.0,CLOSED,ORB Break SELL,10:15,33.5,False,0.75,,,,,,1153.364999999999,0,0
ICICIPRULI,SELL,541.5,545.55,533.4,10,0.0,CLOSED,ORB Break SELL,10:15,13.5,False,0.75,,,,,,1153.364999999999,0,0
ICICIPRULI__PYR1,SELL,539.8755,543.9,533.4,10,0.0,CLOSED,ORB Break SELL [PYR1],10:19,-40.24,False,0.75,ICICIPRULI,1,,,,1153.364999999999,0,0
HDFCBANK,SELL,801.8,807.8,789.75,10,0.0,CLOSED,ORB Break SELL,10:29,18.0,False,0.75,,,,,,1153.364999999999,0,0
INDUSTOWER,SELL,412.0,411.7,405.8,10,0.75,CLOSED,ORB Break SELL,10:30,39.5,False,0.75,,,,,,1153.364999999999,0,0
HDFCLIFE__PYR1,SELL,605.6775,610.2,598.4,10,0.0,CLOSED,ORB Break SELL [PYR1],10:37,15.28,False,0.75,HDFCLIFE,1,,,,1153.364999999999,0,0
OIL,SELL,465.3,468.8,458.3,10,0.0,CLOSED,ORB Break SELL,10:44,-35.0,False,0.75,,,,,,1153.364999999999,0,0
SUNPHARMA,SELL,1653.7,1666.1,1628.9,10,0.0,CLOSED,ORB Break SELL,10:51,-124.0,False,0.75,,,,,,1153.364999999999,0,0
OIL__PYR1,SELL,463.9041,467.4,458.3,10,0.0,CLOSED,ORB Break SELL [PYR1],10:57,-34.96,False,0.75,OIL,1,,,,1153.364999999999,0,0
INDUSTOWER__PYR1,SELL,410.764,410.65,405.8,10,0.75,CLOSED,ORB Break SELL [PYR1],10:59,27.14,False,0.75,INDUSTOWER,1,,,,1153.364999999999,0,0
TORNTPHARM,SELL,4092.2,4122.9,4030.8,10,0.0,CLOSED,ORB Break SELL,11:02,87.0,False,0.75,,,,,,1153.364999999999,0,0
INDUSTOWER__PYR2,SELL,409.528,412.6,405.8,10,0.0,CLOSED,ORB Break SELL [PYR2],11:15,14.78,False,0.75,INDUSTOWER,2,,,,1153.364999999999,0,0
TORNTPHARM__PYR1,SELL,4079.9234,4110.5,4030.8,10,0.0,CLOSED,ORB Break SELL [PYR1],11:29,-305.77,False,0.75,TORNTPHARM,1,,,,1153.364999999999,0,0
HEROMOTOCO,SELL,5249.0,5248.5,5170.5,10,0.75,CLOSED,ORB Break SELL,12:50,640.0,False,0.75,,,,,,1153.364999999999,0,0
HEROMOTOCO__PYR1,SELL,5233.253,5222.5,5170.5,10,0.75,CLOSED,ORB Break SELL [PYR1],12:51,482.53,False,0.75,HEROMOTOCO,1,,,,1153.364999999999,0,0
HEROMOTOCO__PYR2,SELL,5217.506,5217.0,5170.5,10,0.75,CLOSED,ORB Break SELL [PYR2],13:14,325.06,False,0.75,HEROMOTOCO,2,,,,1153.364999999999,0,0
HDFCLIFE__PYR2,SELL,603.855,608.4,598.4,10,0.0,CLOSED,ORB Break SELL [PYR2],13:54,-2.95,False,0.75,HDFCLIFE,2,,,,1153.364999999999,0,0
