Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-04-23 09:52:57.386404,MARICO,SELL,766.85,772.55,10,-57.0,SL HIT
2026-04-23 11:03:14.664055,AXISBANK,BUY,1383.0,1372.6,10,-104.0,SL HIT
2026-04-23 11:08:17.944840,TCS,BUY,2556.0,2554.9,10,-11.0,SL HIT
2026-04-23 11:08:19.979830,WAAREEENER,BUY,3461.0,3461.0,10,0.0,SL HIT
2026-04-23 11:08:31.981344,ASTRAL,SELL,1573.0,1573.0,10,0.0,SL HIT
2026-04-23 11:08:46.667861,FORTIS,BUY,925.0,925.0,10,0.0,SL HIT
2026-04-23 11:09:02.012007,BAJFINANCE__PYR1,SELL,911.6688,913.45,10,-17.81,SL HIT
2026-04-23 11:09:34.685439,HINDALCO,BUY,1040.9,1038.9,10,-20.0,SL HIT
2026-04-23 11:09:36.004251,ADANIPORTS__PYR1,BUY,1588.6517,1588.7,10,0.48,SL HIT
2026-04-23 11:11:32.221929,POLICYBZR,BUY,1647.7,1672.4,10,247.0,TARGET HIT
2026-04-23 11:11:32.221929,POLICYBZR__PYR1,BUY,1652.6431,1672.4,10,197.57,TARGET HIT
2026-04-23 11:11:32.223402,POLICYBZR__PYR2,BUY,1657.5862,1672.4,10,148.14,TARGET HIT
2026-04-23 11:11:37.953093,BHARTIARTL,BUY,1835.7,1835.7,10,0.0,SL HIT
2026-04-23 11:11:46.190959,INDUSTOWER__PYR1,SELL,401.791,402.85,10,-10.59,SL HIT
2026-04-23 11:11:46.495179,TITAN__PYR1,BUY,4452.7182,4452.7,10,-0.18,SL HIT
2026-04-23 11:13:49.220270,INDUSTOWER,SELL,403.0,403.0,10,0.0,SL HIT
2026-04-23 11:14:38.193311,ADANIGREEN__PYR2,BUY,1212.23,1212.75,10,5.2,SL HIT
2026-04-23 11:15:35.255803,HEROMOTOCO__PYR2,SELL,5071.388,5071.5,10,-1.12,SL HIT
2026-04-23 11:19:54.232159,TITAN,BUY,4439.4,4439.4,10,0.0,SL HIT
2026-04-23 11:21:31.263879,ADANIENT,BUY,2259.9,2293.8,10,339.0,TARGET HIT
2026-04-23 11:21:31.265283,ADANIENT__PYR1,BUY,2266.6797,2293.8,10,271.2,TARGET HIT
2026-04-23 11:21:31.265283,ADANIENT__PYR2,BUY,2273.4594,2293.8,10,203.41,TARGET HIT
2026-04-23 11:24:50.486339,AUBANK,BUY,1051.55,1051.55,10,0.0,SL HIT
2026-04-23 11:47:42.016091,ADANIGREEN,BUY,1205.0,1223.05,10,180.5,TARGET HIT
2026-04-23 11:47:42.016091,ADANIGREEN__PYR1,BUY,1208.615,1223.05,10,144.35,TARGET HIT
2026-04-23 11:55:18.696226,ADANIPORTS,BUY,1583.9,1607.7,10,238.0,TARGET HIT
2026-04-23 11:55:18.697713,ADANIPORTS__PYR2,BUY,1593.4034,1607.7,10,142.97,TARGET HIT
2026-04-23 12:28:36.480196,HEROMOTOCO,SELL,5102.0,5025.5,10,765.0,TARGET HIT
2026-04-23 12:28:36.480196,HEROMOTOCO__PYR1,SELL,5086.694,5025.5,10,611.94,TARGET HIT
2026-04-23 12:29:04.549560,BAJFINANCE,SELL,916.25,916.25,10,0.0,SL HIT
2026-04-23 12:35:12.729835,UNITDSPR,BUY,1392.0,1392.0,10,0.0,SL HIT
2026-04-23 12:53:08.235845,ASIANPAINT,BUY,2536.9,2536.9,10,0.0,SL HIT
2026-04-23 13:05:30.463812,TATACONSUM,BUY,1182.2,1182.2,10,0.0,SL HIT
2026-04-23 13:06:04.503573,ICICIGI,BUY,1829.7,1829.7,10,0.0,SL HIT
2026-04-23 13:09:59.256193,PIIND,BUY,3089.0,3089.0,10,0.0,SL HIT
2026-04-23 13:22:09.781892,LT,BUY,4050.0,4050.0,10,0.0,SL HIT
2026-04-23 13:23:00.722434,MAZDOCK,BUY,2709.0,2709.0,10,0.0,SL HIT
2026-04-23 13:36:22.014884,GODREJCP,BUY,1139.9,1139.9,10,0.0,SL HIT
2026-04-23 13:42:59.268639,INFY,SELL,1249.6,1249.6,10,0.0,SL HIT
2026-04-23 13:46:10.285987,KALYANKJIL,BUY,414.4,414.4,10,0.0,SL HIT
2026-04-23 13:48:43.520466,BEL,BUY,451.7,451.7,10,0.0,SL HIT
2026-04-23 14:08:55.723118,CGPOWER,BUY,838.5,838.5,10,0.0,SL HIT
2026-04-23 14:15:16.792386,MAXHEALTH,BUY,1009.0,1009.0,10,0.0,SL HIT
