symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
MARICO,SELL,766.85,772.55,,10,0.0,CLOSED,Open=High Breakdown SELL,09:20,-57.0,True,1.5,,,,,,3273.06,1,0
AXISBANK,BUY,1383.0,1372.6,1403.7,10,0.0,CLOSED,ORB Break,10:15,-104.0,False,0.75,,,,,,3273.06,1,0
POLICYBZR,BUY,1647.7,1660.1,1672.4,10,1.5,CLOSED,ORB Break,10:15,247.0,False,0.75,,,,,1647.7,3273.06,1,0
HEROMOTOCO,SELL,5102.0,5102.0,5025.5,10,0.75,CLOSED,ORB Break SELL,10:15,765.0,False,0.75,,,,,5102.0,3273.06,1,0
ASTRAL,SELL,1573.0,1573.0,1549.4,10,0.75,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,,,,,1573.0,3273.06,1,0
AUBANK,BUY,1051.55,1051.55,1067.3,10,0.75,CLOSED,ORB Break,10:16,0.0,False,0.75,,,,,1051.55,3273.06,1,0
TITAN,BUY,4439.4,4439.4,4506.0,10,0.75,CLOSED,ORB Break,10:16,0.0,False,0.75,,,,,4439.4,3273.06,1,0
HEROMOTOCO__PYR1,SELL,5086.694,5086.5,5025.5,10,0.75,CLOSED,ORB Break SELL [PYR1],10:18,611.94,False,0.75,HEROMOTOCO,1,,,5086.5,3273.06,1,0
BHARTIARTL,BUY,1835.7,1835.7,1863.2,10,0.75,CLOSED,ORB Break,10:19,0.0,False,0.75,,,,,1835.7,3273.06,1,0
WAAREEENER,BUY,3461.0,3461.0,3512.9,10,0.75,CLOSED,ORB Break,10:20,0.0,False,0.75,,,,,3461.0,3273.06,1,0
ADANIENT,BUY,2259.9,2276.8,2293.8,10,1.5,CLOSED,ORB Break,10:21,339.0,False,0.75,,,,,,3273.06,1,0
TITAN__PYR1,BUY,4452.7182,4452.7,4506.0,10,0.75,CLOSED,ORB Break [PYR1],10:22,-0.18,False,0.75,TITAN,1,,,4452.7,3273.06,1,0
POLICYBZR__PYR1,BUY,1652.6431,1653.0,1672.4,10,0.75,CLOSED,ORB Break [PYR1],10:24,197.57,False,0.75,POLICYBZR,1,,,,3273.06,1,0
ADANIGREEN,BUY,1205.0,1214.3,1223.05,10,1.5,CLOSED,ORB Break,10:28,180.5,False,0.75,,,,,,3273.06,1,0
POLICYBZR__PYR2,BUY,1657.5862,1658.0,1672.4,10,0.75,CLOSED,ORB Break [PYR2],10:31,148.14,False,0.75,POLICYBZR,2,,,,3273.06,1,0
BAJFINANCE,SELL,916.25,916.25,,10,1.5,CLOSED,Open=High Breakdown SELL,10:32,0.0,True,1.5,,,,,916.25,3273.06,1,0
ADANIPORTS,BUY,1583.9,1595.6,1607.7,10,1.5,CLOSED,ORB Break,10:32,238.0,False,0.75,,,,,1583.9,3273.06,1,0
INDUSTOWER,SELL,403.0,403.0,396.95,10,0.75,CLOSED,ORB Break SELL,10:37,0.0,False,0.75,,,,,403.0,3273.06,1,0
INDUSTOWER__PYR1,SELL,401.791,402.85,396.95,10,0.75,CLOSED,ORB Break SELL [PYR1],10:39,-10.59,False,0.75,INDUSTOWER,1,,,402.85,3273.06,1,0
TCS,BUY,2556.0,2554.9,2594.3,10,0.75,CLOSED,ORB Break,10:41,-11.0,False,0.75,,,,,2554.9,3273.06,1,0
BAJFINANCE__PYR1,SELL,911.6688,913.45,,10,1.5,CLOSED,Open=High Breakdown SELL [PYR1],10:47,-17.81,True,1.5,BAJFINANCE,1,,,913.45,3273.06,1,0
ADANIGREEN__PYR1,BUY,1208.615,1208.6,1223.1,10,0.75,CLOSED,ORB Break [PYR1],10:49,144.35,False,0.75,ADANIGREEN,1,,,1208.6,3273.06,1,0
