Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-03-30 09:23:31.172685,WAAREEENER,SELL,3045.0,3043.6,10,14.0,SL HIT
2026-03-30 09:23:31.174185,WAAREEENER__PYR1,SELL,3029.775,3043.6,10,-138.25,SL HIT
2026-03-30 09:25:34.420789,UPL__PYR1,SELL,584.9605,589.35,10,-43.89,SL HIT
2026-03-30 09:26:10.980420,ADANIENT,SELL,1808.2,1823.1,10,-149.0,SL HIT
2026-03-30 09:29:33.649014,TCS,SELL,2358.9,2387.2,10,-283.0,SL HIT
2026-03-30 09:30:36.674687,TORNTPOWER__PYR1,SELL,1324.942,1324.7,10,2.42,SL HIT
2026-03-30 09:31:36.669454,CUMMINSIND,SELL,4575.0,4618.0,10,-430.0,SL HIT
2026-03-30 09:32:04.397237,AXISBANK__PYR1,SELL,1156.588,1165.3,10,-87.12,SL HIT
2026-03-30 09:33:55.939611,TORNTPOWER__PYR2,SELL,1318.284,1328.2,10,-99.16,SL HIT
2026-03-30 09:34:26.204733,PNBHOUSING,SELL,778.25,776.8,10,14.5,SL HIT
2026-03-30 09:34:26.205731,PNBHOUSING__PYR1,SELL,774.3587,776.8,10,-24.41,SL HIT
