symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,daily_pnl_snapshot
AUBANK,BUY,916.3,909.45,939.2,10,0.0,OPEN,OPEN==LOW Break,09:31,0.0,-1565.3999999999992
AXISBANK,BUY,1227.3,1218.1,1258.0,10,0.0,OPEN,OPEN==LOW Break,09:31,0.0,-1565.3999999999992
BHARTIARTL,BUY,2009.9,1994.8,2060.1,10,0.0,OPEN,OPEN==LOW Break,09:31,0.0,-1565.3999999999992
BPCL,BUY,359.5,356.8,368.5,10,0.0,CLOSED,OPEN==LOW Break,09:31,0.0,-1565.3999999999992
INDUSINDBK,BUY,806.3,800.25,826.45,10,0.0,CLOSED,OPEN==LOW Break,09:31,0.0,-1565.3999999999992
DLF,BUY,764.0,758.25,783.1,10,0.0,CLOSED,YH Breakout BUY,09:32,0.0,-1565.3999999999992
SBILIFE,BUY,2014.6,1999.5,2065.0,10,0.0,CLOSED,OPEN==LOW Break,09:32,0.0,-1565.3999999999992
MAXHEALTH,SELL,1123.7,1132.1,1095.6,10,0.0,CLOSED,OPEN==HIGH Break,09:33,0.0,-1565.3999999999992
UPL,BUY,758.6,752.9,777.55,10,0.0,CLOSED,OPEN==LOW Break,09:33,0.0,-1565.3999999999992
OIL,BUY,438.5,435.2,449.45,10,0.0,CLOSED,YH Breakout BUY,09:34,0.0,-1565.3999999999992
RELIANCE,BUY,1492.9,1481.7,1530.2,10,0.0,OPEN,OPEN==LOW Break,09:34,0.0,-1565.3999999999992
CHOLAFIN,BUY,1715.9,1728.94,1758.8,10,1.5,CLOSED,YH Breakout BUY,09:35,0.0,-1565.3999999999992
LUPIN,BUY,2006.3,2006.54,2056.5,10,0.75,OPEN,OPEN==LOW Break,09:36,0.0,-1565.3999999999992
LT,BUY,3926.0,3896.6,4024.1,10,0.0,OPEN,OPEN==LOW Break,09:37,0.0,-1565.3999999999992
MCX,BUY,1905.0,1890.7,1952.6,10,0.0,OPEN,YH Breakout BUY,09:37,0.0,-1565.3999999999992
OBEROIRLTY,BUY,1808.0,1794.4,1853.2,10,0.0,CLOSED,OPEN==LOW Break,09:37,0.0,-1565.3999999999992
SHRIRAMFIN,BUY,821.0,822.24,841.5,10,0.75,CLOSED,YH Breakout BUY,09:37,0.0,-1565.3999999999992
JINDALSTEL,BUY,1075.5,1067.4,1102.4,10,0.0,OPEN,YH Breakout BUY,09:38,0.0,-1565.3999999999992
SRF,SELL,2869.6,2891.1,2797.9,10,0.0,CLOSED,OPEN==HIGH Break,09:41,0.0,-1565.3999999999992
LTF,BUY,305.5,303.2,313.15,10,0.0,CLOSED,YH Breakout BUY,09:42,0.0,-1565.3999999999992
HCLTECH,BUY,1520.7,1533.11,1558.7,10,1.5,OPEN,YH Breakout BUY,09:46,0.0,-1565.3999999999992
HDFCBANK,BUY,986.0,978.6,1010.65,10,0.0,OPEN,Inside Bar BUY,09:47,0.0,-1565.3999999999992
SWIGGY,SELL,403.5,397.26,393.4,10,2.25,OPEN,Inside Bar SELL,09:53,0.0,-1565.3999999999992
ASTRAL,BUY,1571.1,1559.3,1610.4,10,0.0,OPEN,Inside Bar BUY,09:58,0.0,-1565.3999999999992
FORTIS,SELL,1000.3,998.94,975.3,10,0.75,CLOSED,OPEN==HIGH Break,10:06,0.0,-1565.3999999999992
PREMIERENE,SELL,1013.1,1012.94,987.75,10,0.75,OPEN,Inside Bar SELL,10:06,0.0,-1565.3999999999992
KFINTECH,SELL,1099.3,1097.87,1071.8,10,0.75,OPEN,EMA Pullback SELL,10:10,0.0,-1565.3999999999992
DRREDDY,SELL,1199.3,1208.3,1169.3,10,0.0,OPEN,Inside Bar SELL,10:12,0.0,-1565.3999999999992
COFORGE,BUY,1750.0,1751.86,1793.7,10,0.75,OPEN,ORB Break,10:20,0.0,-1565.3999999999992
BAJFINANCE,BUY,1075.0,1066.95,1101.9,10,0.0,OPEN,ORB Break,10:21,0.0,-1565.3999999999992
POLICYBZR,BUY,1794.2,1795.23,1839.1,10,0.75,OPEN,ORB Break,10:22,0.0,-1565.3999999999992
JSWSTEEL,BUY,1178.8,1170.0,1208.3,10,0.0,OPEN,OPEN==LOW Break,10:25,0.0,-1565.3999999999992
GODREJPROP,BUY,2160.0,2161.27,2214.0,10,0.75,CLOSED,ORB Break,10:27,0.0,-1565.3999999999992
PERSISTENT,BUY,5833.0,5832.92,5978.8,10,0.75,OPEN,ORB Break,10:28,0.0,-1565.3999999999992
RECLTD,SELL,363.5,366.25,354.4,10,0.0,OPEN,ORB Break SELL,10:35,0.0,-1565.3999999999992
TORNTPOWER,BUY,1291.0,1291.14,1323.3,10,0.75,OPEN,ORB Break,10:39,0.0,-1565.3999999999992
ALKEM,BUY,5697.5,5655.0,5840.0,10,0.0,CLOSED,YH Breakout BUY,10:43,0.0,-1565.3999999999992
TATACONSUM,SELL,1155.8,1155.1,1126.9,10,0.75,OPEN,YL Breakdown SELL,10:44,0.0,-1565.3999999999992
KALYANKJIL,BUY,517.1,513.2,530.05,10,0.0,CLOSED,YH Breakout BUY,10:52,0.0,-1565.3999999999992
NESTLEIND,BUY,1267.2,1257.7,1298.9,10,0.0,OPEN,ORB Break,10:54,0.0,-1565.3999999999992
PIIND,BUY,3777.7,3778.25,3872.1,10,0.75,OPEN,ORB Break,10:56,0.0,-1565.3999999999992
PFC,SELL,375.0,377.8,365.6,10,0.0,OPEN,ORB Break SELL,10:57,0.0,-1565.3999999999992
MFSL,BUY,1633.0,1620.8,1673.8,10,0.0,OPEN,ORB Break,10:58,0.0,-1565.3999999999992
PNBHOUSING,BUY,901.9,902.13,924.45,10,0.75,OPEN,ORB Break,11:05,0.0,-1565.3999999999992
LAURUSLABS,BUY,989.8,990.02,1014.5,10,0.75,OPEN,YH Breakout BUY,11:16,0.0,-1565.3999999999992
TITAN,BUY,3798.0,3769.5,3892.9,10,0.0,OPEN,YH Breakout BUY,11:20,0.0,-1565.3999999999992
NAUKRI,SELL,1342.6,1341.79,1309.0,10,0.75,OPEN,EMA Pullback SELL,11:31,0.0,-1565.3999999999992
BIOCON,BUY,381.45,378.6,391.0,10,0.0,OPEN,ORB Break,11:34,0.0,-1565.3999999999992
MUTHOOTFIN,BUY,3267.2,3269.69,3348.9,10,0.75,OPEN,ORB Break,11:38,0.0,-1565.3999999999992
AUROPHARMA,BUY,1140.5,1140.78,1169.0,10,0.75,OPEN,ORB Break,11:41,0.0,-1565.3999999999992
CAMS,SELL,759.6,765.3,740.6,10,0.0,OPEN,ORB Break SELL,12:06,0.0,-1565.3999999999992
TATAPOWER,BUY,396.0,393.05,405.9,10,0.0,OPEN,ORB Break,12:07,0.0,-1565.3999999999992
BHARATFORG,BUY,1325.2,1315.3,1358.3,10,0.0,OPEN,YH Breakout BUY,12:20,0.0,-1565.3999999999992
ETERNAL,SELL,303.3,305.57,295.72,10,0.0,OPEN,ORB Break SELL,12:32,0.0,-1565.3999999999992
CONCOR,SELL,523.0,526.9,509.9,10,0.0,OPEN,ORB Break SELL,12:47,0.0,-1565.3999999999992
KPITTECH,SELL,1150.6,1159.25,1121.85,10,0.0,CLOSED,EMA Pullback SELL,12:47,0.0,-1565.3999999999992
ICICIGI,BUY,2032.1,2016.9,2082.9,10,0.0,OPEN,ORB Break,12:52,0.0,-1565.3999999999992
PRESTIGE,BUY,1750.2,1737.1,1794.0,10,0.0,OPEN,YH Breakout BUY,12:56,0.0,-1565.3999999999992
LICHSGFIN,SELL,569.7,573.95,555.45,10,0.0,OPEN,EMA Pullback SELL,13:14,0.0,-1565.3999999999992
PATANJALI,SELL,578.85,583.2,564.4,10,0.0,OPEN,Inside Bar SELL,13:42,0.0,-1565.3999999999992
