symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
INDUSTOWER,SELL,420.55,423.2,,10,1.5,CLOSED,Open=High Breakdown SELL,09:41,76.0,True,1.5,,,,,423.2,1151.4619999999993,1,0
INDUSTOWER__PYR1,SELL,418.4472,421.1,,10,1.5,CLOSED,Open=High Breakdown SELL [PYR1],09:50,54.97,True,1.5,INDUSTOWER,1,,,421.1,1151.4619999999993,1,0
INDUSTOWER__PYR2,SELL,416.3445,419.45,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR2],09:56,-31.06,True,1.5,INDUSTOWER,2,,,,1151.4619999999993,1,0
GRASIM,BUY,2753.9,2736.8,2795.2,10,0.75,CLOSED,ORB Break,10:15,-171.0,False,0.75,,,,,2736.8,1151.4619999999993,1,0
HDFCBANK,SELL,810.15,812.8,798.0,10,0.75,CLOSED,ORB Break SELL,10:15,121.5,False,0.75,,,,,812.8,1151.4619999999993,1,0
UNITDSPR,SELL,1243.5,1252.8,1224.8,10,0.0,CLOSED,ORB Break SELL,10:15,-93.0,False,0.75,,,,,,1151.4619999999993,1,0
ADANIENSOL,BUY,1197.5,1194.85,1215.45,10,0.75,CLOSED,ORB Break,10:16,-26.5,False,0.75,,,,,1194.85,1151.4619999999993,1,0
PIDILITIND,SELL,1318.0,1326.7,1298.2,10,0.75,CLOSED,ORB Break SELL,10:16,-87.0,False,0.75,,,,,1326.7,1151.4619999999993,1,0
BAJFINANCE,BUY,931.9,926.45,945.9,10,0.75,CLOSED,ORB Break,10:18,-54.5,False,0.75,,,,,926.45,1151.4619999999993,1,0
POLICYBZR,BUY,1499.1,1510.6,1521.6,10,1.5,CLOSED,ORB Break,10:18,225.0,False,0.75,,,,,,1151.4619999999993,1,0
DALBHARAT,SELL,1967.2,1970.1,,10,1.5,CLOSED,Open=High Breakdown SELL,10:21,-29.0,True,1.5,,,,,1970.1,1151.4619999999993,1,0
