symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,daily_pnl_snapshot
TCS,SELL,2393.5,2374.78,2357.6,10,1.5,CLOSED,ORB Break SELL,10:15,359.0,False,0.75,3544.9000000000024
OIL,SELL,466.2,469.7,459.2,10,0.75,CLOSED,ORB Break SELL,10:15,-35.0,False,0.75,3544.9000000000024
TORNTPOWER,SELL,1434.6,1445.4,1413.1,10,0.75,CLOSED,ORB Break SELL,10:15,-108.0,False,0.75,3544.9000000000024
HEROMOTOCO,SELL,5292.5,5251.09,5213.0,10,1.5,CLOSED,ORB Break SELL,10:15,795.0,False,0.75,3544.9000000000024
LICHSGFIN,SELL,492.8,488.99,485.4,10,1.5,CLOSED,ORB Break SELL,10:16,74.0,False,0.75,3544.9000000000024
ITC,SELL,299.75,299.73,295.25,10,0.75,CLOSED,ORB Break SELL,10:17,17.5,False,0.75,3544.9000000000024
AUBANK,SELL,900.0,906.75,886.5,10,0.75,CLOSED,ORB Break SELL,10:18,-67.5,False,0.75,3544.9000000000024
BIOCON,SELL,373.2,370.36,367.6,10,1.5,CLOSED,ORB Break SELL,10:19,56.0,False,0.75,3544.9000000000024
HCLTECH,SELL,1335.5,1325.27,1315.5,10,1.5,CLOSED,ORB Break SELL,10:29,200.0,False,0.75,3544.9000000000024
RECLTD,SELL,339.05,336.4,333.95,10,1.5,CLOSED,ORB Break SELL,10:30,51.0,False,0.75,3544.9000000000024
SYNGENE,SELL,411.4,411.21,405.25,10,0.75,CLOSED,ORB Break SELL,10:31,48.0,False,0.75,3544.9000000000024
TATAELXSI,SELL,4080.0,4078.16,4018.8,10,0.75,CLOSED,ORB Break SELL,10:49,458.0,False,0.75,3544.9000000000024
BAJAJFINSV,SELL,1743.9,1730.38,1717.7,10,1.5,CLOSED,ORB Break SELL,10:54,262.0,False,0.75,3544.9000000000024
ALKEM,SELL,5236.0,5275.5,5157.5,10,0.0,CLOSED,ORB Break SELL,11:01,130.0,False,0.75,3544.9000000000024
SRF,SELL,2478.6,2497.2,2441.4,10,0.75,CLOSED,ORB Break SELL,11:25,-186.0,False,0.75,3544.9000000000024
DELHIVERY,SELL,411.1,414.2,404.95,10,0.75,CLOSED,ORB Break SELL,11:29,-31.0,False,0.75,3544.9000000000024
CONCOR,SELL,446.5,443.05,439.8,10,1.5,CLOSED,ORB Break SELL,11:37,67.0,False,0.75,3544.9000000000024
MAXHEALTH,SELL,955.5,955.31,941.2,10,0.75,CLOSED,ORB Break SELL,11:42,1.9,False,0.75,3544.9000000000024
DIVISLAB,SELL,6040.0,6039.46,5949.5,10,0.75,CLOSED,ORB Break SELL,12:06,660.0,False,0.75,3544.9000000000024
LAURUSLABS,SELL,954.8,954.61,940.5,10,0.75,CLOSED,ORB Break SELL,12:57,143.0,False,0.75,3544.9000000000024
COLPAL,SELL,1911.3,1911.13,1882.6,10,0.75,CLOSED,ORB Break SELL,13:04,226.0,False,0.75,3544.9000000000024
SBILIFE,SELL,1922.2,1921.6,1893.4,10,0.75,CLOSED,ORB Break SELL,13:20,201.0,False,0.75,3544.9000000000024
ZYDUSLIFE,SELL,880.9,880.81,867.7,10,0.75,CLOSED,ORB Break SELL,13:23,59.5,False,0.75,3544.9000000000024
UNITDSPR,SELL,1292.0,1291.92,1272.6,10,0.75,CLOSED,ORB Break SELL,13:27,70.0,False,0.75,3544.9000000000024
360ONE,SELL,1044.5,1044.27,1028.8,10,0.75,CLOSED,ORB Break SELL,14:03,67.0,False,0.75,3544.9000000000024
IRCTC,SELL,528.15,532.1,520.25,10,0.0,CLOSED,ORB Break SELL,14:10,26.5,False,0.75,3544.9000000000024
