symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,daily_pnl_snapshot
HINDZINC,SELL,487.15,490.8,479.85,10,0.0,CLOSED,ORB Break SELL,10:15,-37.0,False,0.75,,,,,-6035.4000000000115
DLF,SELL,518.1,522.0,510.35,10,0.0,CLOSED,ORB Break SELL,10:15,-39.5,False,0.75,,,,,-6035.4000000000115
TRENT,SELL,3385.1,3384.39,3334.3,10,0.75,OPEN,ORB Break SELL,10:15,0.0,False,0.75,,,,,-6035.4000000000115
COLPAL,SELL,1856.3,1856.12,1828.5,10,0.75,CLOSED,ORB Break SELL,10:15,-151.5,False,0.75,,,,,-6035.4000000000115
BDL,SELL,1165.0,1164.67,1147.5,10,0.75,CLOSED,ORB Break SELL,10:19,-87.0,False,0.75,,,,,-6035.4000000000115
KAYNES,SELL,3440.2,3438.4,3388.6,10,0.75,CLOSED,ORB Break SELL,10:20,14.0,False,0.75,,,,,-6035.4000000000115
HAL,SELL,3643.0,3670.3,3588.4,10,0.0,CLOSED,ORB Break SELL,10:20,-290.0,False,0.75,,,,,-6035.4000000000115
MAZDOCK,SELL,2225.0,2241.7,2191.6,10,0.75,CLOSED,ORB Break SELL,10:20,-167.0,False,0.75,,,,,-6035.4000000000115
ADANIGREEN,SELL,812.5,812.05,800.3,10,0.75,CLOSED,ORB Break SELL,10:20,-39.0,False,0.75,,,,,-6035.4000000000115
LICI,SELL,746.8,752.4,735.6,10,0.0,CLOSED,ORB Break SELL,10:20,-52.0,False,0.75,,,,,-6035.4000000000115
VEDL,SELL,648.55,648.4,638.8,10,0.75,CLOSED,ORB Break SELL,10:21,0.5,False,0.75,,,,,-6035.4000000000115
ADANIENT,SELL,1850.0,1849.57,1822.2,10,0.75,CLOSED,ORB Break SELL,10:21,-139.0,False,0.75,,,,,-6035.4000000000115
TRENT__PYR1,SELL,3374.9447,3373.82,3334.3,10,0.75,OPEN,ORB Break SELL [PYR1],10:21,0.0,False,0.75,TRENT,1,2.036304849477755e+18,2.036304849809105e+18,-6035.4000000000115
CGPOWER,SELL,665.0,664.85,655.0,10,0.75,CLOSED,ORB Break SELL,10:21,0.5,False,0.75,,,,,-6035.4000000000115
SBIN,SELL,1033.5,1032.8,1018.0,10,0.75,CLOSED,ORB Break SELL,10:26,7.0,False,0.75,,,,,-6035.4000000000115
TRENT__PYR2,SELL,3364.7894,3390.0,3334.3,10,0.75,OPEN,ORB Break SELL [PYR2],10:26,0.0,False,0.75,TRENT,2,2.036306201935274e+18,2.0363062023798702e+18,-6035.4000000000115
CONCOR,SELL,426.2,429.4,419.8,10,0.75,CLOSED,ORB Break SELL,10:27,-32.5,False,0.75,,,,,-6035.4000000000115
BEL,SELL,411.2,414.3,405.05,10,0.0,CLOSED,ORB Break SELL,10:27,-31.0,False,0.75,,,,,-6035.4000000000115
KEI,SELL,4041.0,4040.0,3980.5,10,0.75,CLOSED,ORB Break SELL,10:27,10.0,False,0.75,,,,,-6035.4000000000115
ASTRAL,SELL,1569.0,1580.8,1545.5,10,0.0,CLOSED,ORB Break SELL,10:28,-134.5,False,0.75,,,,,-6035.4000000000115
ADANIGREEN__PYR1,SELL,810.0625,809.68,800.3,10,0.75,CLOSED,ORB Break SELL [PYR1],10:29,-63.37,False,0.75,ADANIGREEN,1,2.0363068115144458e+18,2.0363068118374072e+18,-6035.4000000000115
CGPOWER__PYR1,SELL,663.005,668.0,655.0,10,0.0,CLOSED,ORB Break SELL [PYR1],10:29,-19.45,False,0.75,CGPOWER,1,2.0363069509960253e+18,2.0363069514490102e+18,-6035.4000000000115
BDL__PYR1,SELL,1161.505,1170.2,1147.5,10,0.75,CLOSED,ORB Break SELL [PYR1],10:31,-121.95,False,0.75,BDL,1,2.0363074298135757e+18,2.0363074302917263e+18,-6035.4000000000115
ADANIENT__PYR1,SELL,1844.45,1843.9,1822.2,10,0.75,CLOSED,ORB Break SELL [PYR1],10:32,-194.5,False,0.75,ADANIENT,1,2.036307588580565e+18,2.036307589117436e+18,-6035.4000000000115
SBILIFE,SELL,1825.4,1839.1,1798.0,10,0.0,CLOSED,ORB Break SELL,10:32,-139.0,False,0.75,,,,,-6035.4000000000115
KAYNES__PYR1,SELL,3429.8794,3455.6,3388.6,10,0.0,CLOSED,ORB Break SELL [PYR1],10:33,-89.21,False,0.75,KAYNES,1,2.0363078024565146e+18,2.0363078029094994e+18,-6035.4000000000115
CONCOR__PYR1,SELL,424.9214,428.1,419.8,10,0.75,CLOSED,ORB Break SELL [PYR1],10:33,-45.29,False,0.75,CONCOR,1,2.0363079824382935e+18,2.0363079829080556e+18,-6035.4000000000115
