symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed
INDIGO,SELL,4201.6,4137.8,,10,2.25,CLOSED,Open=High SELL@09:18,09:18,638.0,True,0.75,,,,,,-218.04999999999984,1
360ONE,SELL,987.2,979.1,,10,1.5,CLOSED,Open=High SELL@09:18,09:18,81.0,True,0.75,,,,,,-218.04999999999984,1
GODREJPROP,SELL,1521.0,1509.2,,10,1.5,CLOSED,Open=High SELL@09:18,09:18,118.0,True,0.75,,,,,,-218.04999999999984,1
BHARATFORG,SELL,1702.8,1698.4,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,44.0,True,0.75,,,,,,-218.04999999999984,1
HDFCAMC,SELL,2329.2,2327.6,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,16.0,True,0.75,,,,,,-218.04999999999984,1
HINDZINC,SELL,507.45,509.95,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-25.0,True,0.75,,,,,,-218.04999999999984,1
CUMMINSIND,SELL,4664.9,4661.1,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,38.0,True,0.75,,,,,,-218.04999999999984,1
ADANIPORTS,SELL,1362.6,1341.9,,10,2.25,CLOSED,Open=High SELL@09:18,09:18,207.0,True,0.75,,,,,,-218.04999999999984,1
CHOLAFIN,SELL,1444.6,1433.6,,10,1.5,CLOSED,Open=High SELL@09:18,09:18,110.0,True,0.75,,,,,,-218.04999999999984,1
APLAPOLLO,SELL,1968.8,1984.4,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-156.0,True,0.75,,,,,,-218.04999999999984,1
SBIN,SELL,1044.3,1028.4,,10,2.25,CLOSED,Open=High SELL@09:18,09:18,237.0,True,0.75,,,,,1044.3,-218.04999999999984,1
SIEMENS,SELL,3060.2,3060.0,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,2.0,True,0.75,,,,,,-218.04999999999984,1
AUROPHARMA,SELL,1299.0,1306.8,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-78.0,True,0.75,,,,,,-218.04999999999984,1
ADANIGREEN,SELL,841.0,834.45,,10,1.5,CLOSED,Open=High SELL@09:18,09:18,81.5,True,0.75,,,,,,-218.04999999999984,1
MAZDOCK,SELL,2231.4,2246.2,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-148.0,True,0.75,,,,,,-218.04999999999984,1
FORTIS,SELL,819.75,819.75,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,0.0,True,0.75,,,,,819.75,-218.04999999999984,1
TRENT,SELL,3422.0,3454.0,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-320.0,True,0.75,,,,,,-218.04999999999984,1
HDFCLIFE,SELL,606.95,606.95,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,0.0,True,0.75,,,,,606.95,-218.04999999999984,1
JSWSTEEL,SELL,1138.9,1144.0,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,-51.0,True,0.75,,,,,1144.0,-218.04999999999984,1
GODREJCP,SELL,1015.3,1030.0,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-147.0,True,0.75,,,,,,-218.04999999999984,1
PIIND,SELL,2868.3,2876.0,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-77.0,True,0.75,,,,,,-218.04999999999984,1
UNITDSPR,SELL,1294.4,1274.4,,10,2.25,CLOSED,Open=High SELL@09:18,09:18,200.0,True,0.75,,,,,,-218.04999999999984,1
IRCTC,SELL,515.2,515.0,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,47.5,True,0.75,,,,,,-218.04999999999984,1
ICICIPRULI,SELL,529.65,529.65,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,0.0,True,0.75,,,,,529.65,-218.04999999999984,1
LUPIN,SELL,2333.7,2355.7,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-220.0,True,0.75,,,,,,-218.04999999999984,1
ZYDUSLIFE,SELL,895.05,900.0,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-49.5,True,0.75,,,,,,-218.04999999999984,1
PHOENIXLTD,SELL,1526.8,1536.9,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-101.0,True,0.75,,,,,,-218.04999999999984,1
TIINDIA,SELL,2636.1,2661.1,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-250.0,True,0.75,,,,,,-218.04999999999984,1
PRESTIGE,SELL,1194.0,1184.2,,10,1.5,CLOSED,Open=High SELL@09:18,09:18,98.0,True,0.75,,,,,,-218.04999999999984,1
OBEROIRLTY,SELL,1467.2,1485.7,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-185.0,True,0.75,,,,,,-218.04999999999984,1
